versuchsreihe;alpha;beta;evaporation;group_size;median_value;median_iteration;std_value;min_value;max_value
1;1.000;1.000;0.100;50;1004694.500;24.500;260.854;1004295;1005221
1;2.000;1.000;0.100;80;1004528.500;9.000;465.616;1003932;1005290
1;1.000;1.000;0.500;80;1004640.000;28.500;181.306;1004379;1005030
1;1.000;1.000;0.300;50;1004689.500;43.000;280.914;1004282;1005021
1;1.000;1.000;0.500;50;1004674.000;44.500;215.725;1004317;1005050
1;1.000;1.000;0.300;20;1004589.500;34.500;243.973;1004065;1004802
1;1.000;1.000;0.300;80;1004604.500;38.000;70.139;1004478;1004714
1;2.000;2.000;0.500;80;1004555.000;31.500;227.758;1004223;1005005
1;1.000;1.000;0.100;80;1004677.500;49.000;269.986;1004466;1005319
1;1.000;1.000;0.500;20;1004692.000;56.500;238.615;1004518;1005313
1;2.000;1.000;0.100;50;1004403.500;16.000;312.821;1003768;1004677
1;2.000;1.000;0.300;50;1004230.000;4.500;489.436;1003876;1005607
1;2.000;1.000;0.100;20;1004314.500;22.000;426.853;1003737;1004951
1;2.000;2.000;0.100;20;1004284.500;23.500;163.656;1004060;1004594
1;2.000;1.000;0.500;80;1004146.500;6.500;323.629;1003843;1004827
1;2.000;1.000;0.500;50;1004280.000;27.000;627.592;1003603;1005395
1;2.000;1.000;0.300;80;1004111.000;3.500;312.712;1003836;1004841
1;2.000;2.000;0.500;50;1004558.000;67.000;314.232;1004280;1005322
1;2.000;2.000;0.100;80;1004451.500;54.000;160.034;1004335;1004767
1;1.000;1.000;0.100;20;1004450.000;54.500;195.235;1004071;1004702
1;2.000;1.000;0.500;20;1004262.000;30.000;395.814;1003682;1004957
1;2.000;2.000;0.500;20;1004391.000;51.000;194.504;1004054;1004604
1;4.000;4.000;0.500;50;1004165.000;21.500;284.591;1003616;1004503
1;2.000;2.000;0.300;80;1004585.500;84.000;149.980;1004350;1004918
1;2.000;1.000;0.300;20;1004022.500;12.000;282.802;1003370;1004410
1;2.000;2.000;0.300;50;1004390.000;67.000;170.687;1004271;1004718
1;4.000;2.000;0.100;20;1003931.000;7.000;442.551;1003425;1004869
1;2.000;2.000;0.300;20;1004442.000;81.500;281.705;1003972;1005032
1;4.000;2.000;0.100;50;1003876.500;2.500;232.213;1003490;1004385
1;4.000;4.000;0.500;80;1004012.500;28.000;253.316;1003699;1004500
1;4.000;2.000;0.100;80;1003827.000;2.500;323.193;1003535;1004464
1;4.000;2.000;0.300;80;1003823.500;2.500;271.560;1003522;1004361
1;1.000;2.000;0.100;80;1003985.500;27.500;104.317;1003897;1004213
1;4.000;2.000;0.500;50;1003787.500;2.500;261.069;1003339;1004214
1;4.000;2.000;0.300;20;1003833.500;10.500;501.867;1002941;1004895
1;4.000;1.000;0.100;20;1003771.500;2.500;683.709;1002441;1004628
1;1.000;2.000;0.500;80;1004145.500;55.500;120.215;1003924;1004304
1;1.000;2.000;0.100;50;1004030.500;39.500;141.908;1003833;1004207
1;4.000;4.000;0.500;20;1004101.500;50.000;434.902;1003392;1004969
1;2.000;2.000;0.100;50;1004374.500;91.000;137.290;1004240;1004737
1;1.000;2.000;0.300;50;1003914.500;26.000;66.106;1003866;1004080
1;4.000;2.000;0.500;80;1003744.500;2.500;310.717;1003463;1004518
1;4.000;4.000;0.300;20;1004057.500;48.000;163.552;1003799;1004180
1;2.000;4.000;0.300;50;1003836.000;18.000;143.919;1003561;1003877
1;2.000;4.000;0.500;50;1003857.000;21.000;126.102;1003561;1003928
1;4.000;4.000;0.300;80;1003921.500;32.500;172.546;1003857;1004371
1;2.000;4.000;0.100;80;1003866.500;26.500;37.948;1003797;1003955
1;4.000;4.000;0.300;50;1003914.000;34.500;238.436;1003857;1004637
1;4.000;4.000;0.100;50;1003951.000;40.000;163.666;1003788;1004318
1;4.000;2.000;0.500;20;1003733.000;11.500;420.221;1003339;1004496
1;4.000;1.000;0.100;80;1003665.000;3.000;275.539;1003184;1004128
1;4.000;4.000;0.100;80;1003969.000;48.000;114.067;1003855;1004180
1;1.000;2.000;0.300;80;1003994.500;52.000;110.420;1003891;1004233
1;1.000;2.000;0.500;50;1003952.500;46.500;167.338;1003820;1004373
1;1.000;4.000;0.500;80;1003660.000;8.000;74.711;1003660;1003877
1;1.000;2.000;0.500;20;1003938.000;48.000;133.019;1003682;1004137
1;4.000;2.000;0.300;50;1003610.000;5.000;290.954;1003489;1004375
1;1.000;4.000;0.300;80;1003660.000;14.000;81.732;1003660;1003866
1;4.000;1.000;0.500;80;1003580.500;3.000;286.087;1002969;1003875
1;2.000;4.000;0.500;80;1003878.000;45.500;59.842;1003700;1003902
1;1.000;4.000;0.300;20;1003660.000;15.500;99.898;1003483;1003857
1;1.000;4.000;0.100;20;1003660.000;16.000;79.668;1003561;1003878
1;1.000;2.000;0.300;20;1003912.000;54.000;95.092;1003812;1004053
1;4.000;4.000;0.100;20;1003857.000;48.500;166.207;1003490;1004098
1;1.000;2.000;0.100;20;1003830.500;46.000;114.178;1003661;1003992
1;2.000;4.000;0.100;20;1003850.000;50.500;127.106;1003561;1003878
1;1.000;4.000;0.500;50;1003660.000;24.500;80.008;1003603;1003877
1;2.000;4.000;0.300;80;1003877.500;55.500;40.040;1003843;1003981
1;4.000;1.000;0.300;80;1003504.500;3.000;245.057;1002959;1003746
1;1.000;4.000;0.100;80;1003674.000;31.000;81.974;1003660;1003866
1;1.000;4.000;0.300;50;1003660.000;29.500;85.646;1003660;1003878
1;2.000;4.000;0.500;20;1003607.000;26.000;130.154;1003561;1003878
1;1.000;4.000;0.500;20;1003660.000;35.500;64.499;1003603;1003843
1;2.000;4.000;0.100;50;1003861.500;64.500;148.495;1003561;1003877
1;4.000;1.000;0.100;50;1003424.500;3.000;280.392;1002887;1003857
1;1.000;4.000;0.100;50;1003674.000;38.500;83.964;1003660;1003877
1;2.000;4.000;0.300;20;1003615.000;31.000;123.574;1003561;1003878
1;4.000;1.000;0.500;20;1003378.500;3.500;607.018;1001885;1004067
1;4.000;1.000;0.300;50;1003368.500;3.000;421.742;1002932;1004299
1;4.000;1.000;0.500;50;1003279.000;2.000;433.260;1002673;1003940
1;4.000;1.000;0.300;20;1003226.500;4.000;369.753;1002782;1003768
2;1.500;1.000;0.400;50;1004985.000;17.000;270.967;1004538;1005252
2;1.500;1.000;0.250;80;1005005.500;34.000;246.396;1004666;1005552
2;1.500;1.000;0.400;80;1005034.000;60.500;223.914;1004676;1005338
2;1.500;1.000;0.250;20;1004893.000;35.000;251.350;1004441;1005261
2;1.500;1.000;0.100;80;1004987.500;53.000;173.271;1004850;1005392
2;2.000;1.500;0.400;20;1004962.000;52.000;522.987;1004363;1005783
2;1.500;1.000;0.250;50;1004915.500;46.000;233.763;1004526;1005206
2;2.000;1.500;0.250;50;1004797.500;30.500;260.678;1004301;1005040
2;2.000;1.500;0.400;50;1004768.000;28.500;318.903;1004170;1005322
2;1.500;1.000;0.100;50;1004912.000;56.500;191.393;1004500;1005116
2;2.000;1.500;0.100;80;1004879.500;62.500;461.682;1004243;1005816
2;2.000;1.500;0.100;50;1004780.500;52.500;425.352;1004130;1005239
2;1.000;1.000;0.400;80;1004690.000;38.500;202.605;1004502;1005189
2;2.000;1.500;0.250;80;1004641.500;33.000;217.172;1004206;1004977
2;1.500;1.500;0.400;80;1004750.000;54.500;256.140;1004324;1005334
2;1.000;1.000;0.100;80;1004618.500;32.000;190.615;1004358;1004988
2;1.500;1.000;0.100;20;1004787.000;65.500;204.658;1004436;1004971
2;2.000;1.500;0.400;80;1004606.500;36.500;331.956;1004250;1005287
2;1.000;1.000;0.250;80;1004685.500;53.000;188.726;1004524;1005088
2;1.000;1.000;0.250;20;1004584.500;35.000;199.674;1004330;1004835
2;2.000;1.500;0.250;20;1004633.500;45.000;305.101;1004187;1005128
2;1.500;1.000;0.400;20;1004625.500;43.500;552.092;1004265;1005876
2;1.000;1.000;0.100;50;1004559.500;32.000;187.608;1004225;1004862
2;2.000;2.000;0.400;80;1004549.000;34.500;263.130;1004287;1005136
2;2.000;1.000;0.250;20;1004427.500;13.000;471.557;1003539;1005227
2;1.000;1.000;0.400;50;1004623.500;50.000;181.954;1004447;1005013
2;2.000;2.000;0.250;50;1004548.500;36.000;269.764;1004162;1005009
2;1.000;1.000;0.250;50;1004599.000;54.000;105.380;1004445;1004777
2;1.500;1.500;0.400;20;1004494.000;36.500;243.574;1004012;1004845
2;1.500;1.500;0.250;50;1004604.500;62.000;181.341;1004380;1004906
2;1.500;1.500;0.250;20;1004419.500;28.500;296.716;1004156;1005123
2;1.000;1.000;0.400;20;1004451.500;37.500;170.505;1004182;1004682
2;2.000;2.000;0.250;80;1004501.000;47.500;227.079;1004202;1004940
2;1.500;1.500;0.100;80;1004362.500;22.500;200.636;1004273;1004884
2;2.000;1.000;0.100;80;1004240.000;5.000;360.027;1003844;1005047
2;1.500;1.500;0.250;80;1004584.500;71.500;193.417;1004403;1005040
2;2.000;2.000;0.100;80;1004385.500;38.000;122.984;1004185;1004606
2;2.000;1.500;0.100;20;1004705.000;99.000;256.380;1004279;1005020
2;2.000;2.000;0.100;50;1004433.000;50.500;156.202;1004164;1004606
2;2.000;1.000;0.100;50;1004256.500;18.000;805.887;1003650;1006440
2;2.000;1.000;0.400;50;1004246.500;16.500;573.344;1003747;1005455
2;2.000;1.000;0.400;20;1004187.500;7.500;596.193;1003537;1005343
2;1.000;1.500;0.400;50;1004362.500;41.000;152.954;1004186;1004598
2;1.500;1.500;0.400;50;1004480.500;67.000;229.755;1004180;1004957
2;1.000;1.500;0.250;50;1004277.000;29.000;114.631;1004101;1004433
2;2.000;1.000;0.250;50;1004472.500;66.500;511.269;1003820;1005202
2;1.500;1.500;0.100;20;1004297.500;35.000;213.649;1004216;1004863
2;2.000;2.000;0.400;50;1004363.500;51.500;313.805;1003866;1004908
2;1.000;1.500;0.400;80;1004312.000;45.000;194.941;1004088;1004739
2;1.000;1.500;0.100;80;1004311.000;45.000;84.431;1004213;1004451
2;2.000;2.000;0.100;20;1004256.500;36.000;278.514;1003750;1004724
2;1.500;1.500;0.100;50;1004498.000;87.500;189.310;1004213;1004898
2;1.000;1.500;0.250;80;1004280.000;46.500;99.818;1004109;1004432
2;1.000;1.500;0.100;50;1004242.500;40.000;111.269;1003970;1004327
2;2.000;1.000;0.250;80;1004139.000;22.500;443.620;1003711;1005144
2;1.500;2.000;0.250;80;1004222.000;40.500;122.038;1004037;1004425
2;1.000;1.000;0.100;20;1004370.000;69.500;241.068;1004094;1004862
2;2.000;1.000;0.100;20;1004197.500;39.000;348.742;1003960;1005129
2;1.500;2.000;0.100;50;1004198.500;39.500;202.531;1003872;1004629
2;2.000;2.000;0.250;20;1004297.000;58.500;241.127;1003995;1004908
2;1.500;2.000;0.400;20;1004128.500;28.000;217.902;1003847;1004540
2;1.500;2.000;0.100;80;1004223.000;46.500;97.515;1003990;1004337
2;1.000;1.500;0.250;20;1004106.000;27.500;173.753;1003796;1004310
2;1.000;1.500;0.100;20;1004056.000;18.500;128.922;1003942;1004282
2;1.500;2.000;0.400;80;1004274.000;61.500;126.974;1004114;1004478
2;1.500;2.000;0.250;20;1004134.000;36.000;126.884;1003951;1004399
2;1.500;2.000;0.400;50;1004228.500;55.000;163.218;1003885;1004363
2;1.000;2.000;0.250;50;1004015.000;15.000;105.065;1003842;1004162
2;2.000;2.000;0.400;20;1004177.500;46.000;148.376;1004001;1004427
2;1.500;2.000;0.250;50;1004162.500;45.000;126.210;1003860;1004247
2;2.000;1.000;0.400;80;1004045.500;26.000;324.919;1003823;1004801
2;1.500;2.000;0.100;20;1004084.000;34.500;126.392;1003862;1004200
2;1.000;2.000;0.100;50;1004089.000;37.500;110.496;1003878;1004235
2;1.000;2.000;0.250;80;1004020.500;25.000;148.662;1003894;1004363
2;1.000;2.000;0.400;50;1004119.500;44.000;128.828;1003911;1004294
2;1.000;2.000;0.400;80;1004088.000;40.500;81.892;1003964;1004208
2;1.000;2.000;0.100;80;1004044.000;36.000;122.001;1003878;1004263
2;1.000;1.500;0.400;20;1004191.500;70.500;146.853;1003890;1004317
2;1.000;2.000;0.400;20;1003880.500;33.000;176.449;1003705;1004274
2;1.000;2.000;0.250;20;1003932.000;72.500;179.445;1003843;1004452
2;1.000;2.000;0.100;20;1003871.500;88.500;95.071;1003754;1004054
3;1.500;0.800;0.500;90;1005663.500;62.500;229.464;1005245;1005970
3;1.500;0.800;0.200;60;1005784.000;89.000;362.130;1004805;1005883
3;2.000;1.300;0.200;90;1005438.500;35.000;737.899;1003816;1006081
3;2.000;1.300;0.350;90;1005439.500;49.000;406.218;1005185;1006438
3;1.500;0.800;0.350;90;1005770.000;112.000;208.997;1005435;1006123
3;1.500;0.800;0.200;90;1005732.000;111.500;547.471;1004824;1006499
3;2.000;1.300;0.500;90;1005348.000;57.500;577.873;1004241;1006020
3;2.000;1.300;0.350;30;1005229.500;42.500;582.411;1004143;1005620
3;1.500;0.800;0.500;60;1005342.000;66.000;425.531;1004481;1005950
3;2.000;1.300;0.350;60;1005217.000;61.000;455.599;1004330;1005902
3;1.500;0.800;0.350;60;1005629.000;137.500;736.302;1003789;1006376
3;2.000;1.300;0.500;30;1005260.000;85.500;669.001;1003878;1005891
3;1.500;1.300;0.500;90;1005045.500;50.500;289.029;1004657;1005576
3;2.000;1.300;0.500;60;1005241.500;84.500;833.684;1003823;1006042
3;1.500;1.300;0.350;60;1005028.500;51.000;233.336;1004696;1005367
3;1.500;0.800;0.200;30;1005165.000;76.000;517.956;1004088;1005648
3;2.000;1.300;0.200;60;1005105.000;69.000;477.608;1004577;1006110
3;1.500;1.300;0.350;90;1005087.000;70.000;270.841;1004731;1005609
3;1.500;1.300;0.500;30;1004884.000;38.500;413.629;1004244;1005560
3;1.000;0.800;0.200;90;1004950.000;51.000;294.311;1004519;1005467
3;1.500;1.300;0.500;60;1005001.000;62.500;287.710;1004437;1005404
3;1.500;1.300;0.200;30;1004860.000;43.500;151.182;1004646;1005124
3;1.500;0.800;0.500;30;1004869.500;45.500;720.785;1004028;1006196
3;1.000;0.800;0.500;90;1004765.000;33.500;181.081;1004487;1005060
3;1.000;0.800;0.350;90;1004855.500;50.500;181.242;1004547;1005117
3;1.500;1.300;0.200;90;1004974.500;71.000;212.696;1004510;1005207
3;1.000;0.800;0.350;60;1004706.000;39.500;326.477;1004485;1005567
3;2.000;1.300;0.200;30;1004806.500;60.500;607.124;1004069;1006039
3;1.500;0.800;0.350;30;1004912.000;81.500;662.362;1004226;1006253
3;1.500;1.300;0.350;30;1004724.500;50.500;169.012;1004455;1004923
3;1.000;0.800;0.500;30;1004638.500;40.500;372.736;1004414;1005647
3;1.000;0.800;0.200;60;1004584.500;39.500;222.955;1004358;1005048
3;1.000;0.800;0.350;30;1004641.000;56.500;186.579;1004307;1005010
3;2.000;1.800;0.500;60;1004486.500;32.000;319.200;1003918;1004948
3;1.000;0.800;0.500;60;1004775.000;82.500;305.778;1004510;1005353
3;1.000;1.300;0.200;30;1004463.000;29.000;290.544;1004189;1005180
3;2.000;1.800;0.200;90;1004526.500;44.000;191.348;1004363;1004941
3;2.000;1.800;0.500;90;1004578.500;54.000;287.758;1004388;1005375
3;2.000;0.800;0.350;90;1004306.000;8.500;375.609;1003749;1005216
3;2.000;0.800;0.200;90;1004307.500;10.000;140.540;1004149;1004666
3;2.000;0.800;0.200;60;1004309.500;11.000;158.662;1004069;1004580
3;1.000;0.800;0.200;30;1004556.000;54.500;305.480;1004265;1005233
3;2.000;0.800;0.500;60;1004270.000;7.000;233.190;1003865;1004658
3;1.500;1.800;0.500;90;1004443.000;39.000;149.182;1004245;1004731
3;2.000;0.800;0.350;60;1004253.500;7.000;272.671;1003806;1004650
3;1.000;1.300;0.350;90;1004446.000;42.000;83.591;1004263;1004524
3;1.500;1.300;0.200;60;1004707.500;88.000;226.537;1004371;1005038
3;2.000;1.800;0.350;60;1004493.000;51.500;179.110;1004297;1004878
3;1.000;1.300;0.500;90;1004466.000;52.500;126.071;1004239;1004634
3;1.000;1.300;0.200;90;1004377.500;39.000;184.361;1004139;1004722
3;1.500;1.800;0.350;90;1004517.000;63.000;191.920;1004215;1004898
3;2.000;1.800;0.200;60;1004649.500;86.000;336.488;1004298;1005518
3;2.000;1.800;0.350;30;1004366.500;37.500;221.977;1004180;1004766
3;1.000;1.300;0.350;60;1004308.500;28.000;164.331;1004074;1004666
3;2.000;0.800;0.500;90;1004189.500;9.000;239.904;1003688;1004619
3;2.000;1.800;0.350;90;1004411.500;50.500;202.505;1004292;1004898
3;1.500;1.800;0.500;60;1004287.000;34.000;136.907;1004192;1004681
3;2.000;1.800;0.200;30;1004361.500;47.500;271.028;1004036;1004960
3;1.000;1.300;0.500;60;1004313.500;40.000;272.071;1004105;1005121
3;1.500;1.800;0.500;30;1004345.000;46.500;167.232;1004156;1004660
3;2.000;0.800;0.500;30;1004225.500;26.500;376.755;1003708;1005056
3;2.000;1.800;0.500;30;1004364.000;51.000;308.401;1003684;1004785
3;1.500;1.800;0.200;30;1004244.000;36.500;160.738;1004020;1004590
3;1.500;1.800;0.200;90;1004383.500;60.500;247.934;1004069;1004891
3;2.000;0.800;0.350;30;1004096.000;12.500;413.657;1003688;1004926
3;1.000;1.800;0.350;60;1004214.000;33.000;159.242;1004032;1004554
3;2.000;0.800;0.200;30;1004110.500;17.000;238.058;1003760;1004445
3;1.500;1.800;0.350;30;1004323.000;58.500;130.353;1004125;1004508
3;1.500;1.800;0.350;60;1004276.500;52.000;165.113;1004201;1004712
3;1.000;1.300;0.350;30;1004338.000;64.500;216.902;1003962;1004701
3;1.000;1.300;0.200;60;1004389.500;78.000;94.477;1004180;1004516
3;1.000;1.800;0.350;90;1004131.000;35.000;109.572;1003950;1004291
3;1.000;1.800;0.200;90;1004186.000;46.500;105.270;1004003;1004419
3;1.000;1.800;0.500;90;1004227.500;54.000;101.634;1003992;1004320
3;1.500;1.800;0.200;60;1004268.000;64.500;118.933;1004132;1004534
3;1.000;1.800;0.200;60;1004238.500;64.000;121.318;1003992;1004417
3;1.000;1.800;0.200;30;1004029.500;39.500;167.313;1003830;1004307
3;1.000;1.300;0.500;30;1004172.000;65.000;103.553;1004057;1004387
3;1.000;1.800;0.500;60;1004167.000;64.500;107.231;1004067;1004379
3;1.000;1.800;0.500;30;1004130.000;60.500;130.591;1003899;1004320
3;1.000;1.800;0.350;30;1004013.500;41.000;107.847;1003865;1004225
4;1.500;1.000;0.300;60;1005002.000;23.000;266.094;1004553;1005563
4;2.000;1.500;0.500;90;1004906.000;13.500;266.353;1004526;1005252
4;1.500;1.000;0.300;90;1004930.500;34.000;231.478;1004543;1005315
4;2.000;1.500;0.300;90;1004870.000;31.500;317.305;1004372;1005335
4;1.500;1.000;0.500;90;1005005.000;60.000;301.771;1004798;1005669
4;1.000;0.500;0.500;90;1004952.500;54.500;238.639;1004474;1005217
4;1.500;1.000;0.300;30;1004826.000;35.500;399.768;1004348;1005563
4;1.000;1.000;0.500;60;1004795.000;34.500;297.287;1004572;1005450
4;1.500;1.000;0.100;90;1004869.500;47.000;180.638;1004629;1005187
4;1.500;1.000;0.100;60;1005004.500;70.000;170.962;1004775;1005347
4;1.500;0.500;0.100;90;1004747.000;28.000;432.442;1004326;1005682
4;2.000;1.500;0.100;90;1004890.000;52.000;328.365;1004552;1005628
4;1.500;1.500;0.300;60;1004724.000;25.500;190.271;1004470;1005077
4;1.500;1.000;0.500;60;1004983.500;68.500;217.486;1004463;1005209
4;1.000;0.500;0.100;90;1004829.500;44.000;184.780;1004564;1005218
4;1.000;1.000;0.100;90;1004921.500;67.000;251.950;1004576;1005261
4;1.500;1.500;0.100;90;1004799.500;48.500;292.271;1004415;1005239
4;1.500;0.500;0.300;90;1004566.000;13.500;360.893;1004101;1005236
4;1.500;1.500;0.500;60;1004685.000;34.500;312.915;1004377;1005323
4;1.500;1.500;0.500;90;1004754.500;47.000;143.581;1004432;1004933
4;2.000;1.500;0.500;60;1004602.500;22.000;334.000;1004302;1005253
4;1.500;1.000;0.100;30;1004992.000;87.000;159.758;1004741;1005197
4;1.500;1.000;0.500;30;1004885.000;69.500;370.718;1004256;1005506
4;1.000;1.000;0.300;90;1004785.500;53.500;218.301;1004570;1005224
4;2.000;1.500;0.300;60;1004652.500;37.500;311.884;1004228;1005060
4;1.000;0.500;0.300;60;1004982.000;92.000;269.432;1004417;1005255
4;1.000;1.000;0.300;30;1004666.500;40.500;215.942;1004302;1004838
4;1.500;0.500;0.500;90;1004466.000;9.000;183.420;1004207;1004842
4;1.000;0.500;0.300;90;1004739.000;57.000;177.775;1004584;1005119
4;1.000;1.000;0.500;90;1004661.500;46.000;237.086;1004417;1005198
4;1.000;1.000;0.300;60;1004733.000;58.000;134.415;1004582;1005025
4;2.000;1.500;0.100;30;1004712.000;55.500;404.202;1004280;1005447
4;1.000;0.500;0.100;60;1004744.000;62.000;208.753;1004535;1005149
4;1.000;0.500;0.500;60;1004754.000;65.500;204.560;1004386;1004957
4;1.500;0.500;0.100;60;1004464.000;18.000;203.357;1004217;1004849
4;1.500;0.500;0.300;60;1004437.500;14.000;274.947;1003966;1004944
4;1.000;1.000;0.100;60;1004571.500;37.500;171.985;1004348;1004867
4;1.000;0.500;0.500;30;1004688.000;57.500;144.540;1004416;1004841
4;1.000;0.500;0.300;30;1004618.500;51.000;289.994;1004318;1005238
4;1.500;1.500;0.300;90;1004717.000;68.000;278.339;1004428;1005367
4;2.000;1.000;0.100;30;1004334.000;7.500;444.762;1003699;1005052
4;2.000;1.500;0.300;30;1004477.500;32.000;152.996;1004171;1004604
